ecosystem,environment,name,version,dependency_type,source,license_expression,evidence_url,review_status,redistribution,notes
python,backend,pluggy,1.6.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/pluggy/1.6.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,propcache,0.5.2,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/propcache/0.5.2/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,protobuf,7.35.1,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/protobuf/7.35.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pybase64,1.4.3,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/pybase64/1.4.3/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pydantic,2.13.4,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/pydantic/2.13.4/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pydantic-core,2.46.4,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/pydantic-core/2.46.4/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pydantic-settings,2.14.2,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/pydantic-settings/2.14.2/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pygments,2.20.0,transitive,https://pypi.org/simple,BSD-2-Clause,https://pypi.org/project/pygments/2.20.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pypdfium2,4.30.0,direct-main,https://pypi.org/simple,(Apache-2.0 OR BSD-3-Clause) AND LicenseRef-PdfiumThirdParty,https://pypi.org/project/pypdfium2/4.30.0/,approved,retain pypdfium2 and PDFium bundled third-party notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pypika,0.51.1,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/pypika/0.51.1/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pyproject-hooks,1.2.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/pyproject-hooks/1.2.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pyreadline3,3.5.6,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/pyreadline3/3.5.6/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pytest,8.4.2,direct-dev,https://pypi.org/simple,MIT,https://pypi.org/project/pytest/8.4.2/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pytest-cov,6.3.0,direct-dev,https://pypi.org/simple,MIT,https://pypi.org/project/pytest-cov/6.3.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,python-dateutil,2.9.0.post0,transitive,https://pypi.org/simple,Apache-2.0 OR BSD-3-Clause,https://pypi.org/project/python-dateutil/2.9.0.post0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,python-dotenv,1.2.2,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/python-dotenv/1.2.2/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,python-multipart,0.0.32,direct-main,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/python-multipart/0.0.32/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,pyyaml,6.0.3,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/pyyaml/6.0.3/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,referencing,0.37.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/referencing/0.37.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,regex,2026.7.19,transitive,https://pypi.org/simple,Apache-2.0 AND CNRI-Python,https://pypi.org/project/regex/2026.7.19/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,requests,2.34.2,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/requests/2.34.2/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
